conversation_id,language,confidence,is_multilingual
0103cf17-7e89-4ad5-991c-b18d818ec166,nl,1.0,False
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,nl,1.0,False
01cf8b53-0970-41a1-a935-afc633d43918,nl,1.0,False
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,nl,1.0,False
07043831-9ad6-45f6-b956-5ba5e63a9a92,nl,1.0,False
08ea8523-94e5-4044-8327-28f444cf5f37,nl,1.0,False
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,nl,1.0,False
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,nl,1.0,False
0ed90c95-2a73-4393-a7fd-a76c98503dec,nl,1.0,False
12b8fd19-95f0-4346-83be-5a7f78dac1e4,nl,1.0,False
16aa4208-92c8-455d-bc0c-5cdaa69081a7,und,0.0,False
17112510-2f60-4c8d-84fe-597b644f37ed,en,1.0,False
1afd21cb-6669-4ce2-b0b6-6323a12871ee,nl,1.0,False
2041fa8a-efd4-4dd8-a347-526b1e6cc0a6,nl,1.0,False
22ab64f2-4283-4b4d-9142-e8a2d05f40ba,nl,1.0,False
22b2c67f-b458-45f8-bc25-6beaea293feb,nl,1.0,False
2439e6eb-9038-4840-ab10-e6acbf3d3811,nl,1.0,False
283b65ba-eb66-4a84-9868-023dbc7e0499,nl,1.0,False
2fa6a47d-ccaa-4e5b-ab55-2cb1ebcf9526,nl,1.0,False
2fe89a9b-96bf-4097-98e7-3bf2c67e1bf2,nl,1.0,False
337afcd9-d3d2-4da8-9123-6178b1354abd,nl,1.0,False
36a4cbff-0d22-47ae-952e-40ba8f4659f2,nl,1.0,False
372cdc19-2978-4d78-b7c3-1f331b8c5280,nl,0.8099,False
38965b07-0a60-47de-b1ea-c145890bd215,nl,1.0,False
3be9d7d4-b010-4ece-8407-792e359387f0,nl,1.0,False
3bef65ef-522a-4344-b0cc-16d712db82f8,nl,1.0,False
3c5c8f89-1bd9-433f-896e-9edf04f4668d,nl,1.0,False
439ac08a-cc81-463d-b90e-7098bd210ee7,nl,1.0,False
43c84ae1-696b-4af4-adcd-dace56fedde6,nl,1.0,False
4600ff8e-ba5f-4fb3-8eba-f4bdc669bbba,nl,1.0,False
4776b9bb-effb-4797-a37c-c48c604a19c4,nl,1.0,False
49f7d24a-c5ef-4559-bab4-8274c9cccf3b,nl,1.0,False
4b67a384-290f-4527-8500-21a668b2e7bd,und,0.0,False
55b8a907-e011-436d-a627-fbd828b21158,nl,1.0,False
5696d2b7-acee-4614-b6ef-70b42b75651d,nl,1.0,False
5aeb6e3d-03b0-406b-9b90-1f554154f8c4,en,1.0,False
5d13cb6e-eedc-41ff-89b7-d2c7f076f504,nl,1.0,False
5f9fb187-fe03-4aa5-ad9f-7d0aba25d12c,nl,1.0,False
62f23c9c-7e3e-4589-83b1-b57efd11779e,nl,1.0,False
67e1a3e2-2254-4911-98a1-28ae0e5b6045,nl,0.7125,True
6b04873c-9b89-4d69-8e3b-d0fa6ee92030,nl,1.0,False
6b18d527-c76c-47c1-b369-306744be2d43,en,1.0,False
6d33ea83-feae-4635-a2fa-944d62170b00,nl,1.0,False
6ff20d0a-7b7c-4028-8476-7e1516dda6c7,nl,1.0,False
7420edbf-8610-410f-b370-b7294aaa1247,nl,1.0,False
7dda8f47-1bd9-4fc1-b52f-0743513d3dc0,nl,1.0,False
7df6e233-5e13-4807-9410-93505ca65c28,nl,1.0,False
7e2edd10-ae51-4174-a517-12b7aec9bfd5,nl,1.0,False
7ebdec56-87d1-4e71-96e3-09364722ab5a,nl,1.0,False
7ee44b91-e2a2-4585-bc43-db4645697f45,nl,1.0,False
80552cf9-8bac-4854-b7e3-0f65ec3cb1c6,nl,1.0,False
82cab195-56f8-4c3b-aeda-2e7ecf995444,nl,1.0,False
8308e78e-ec7a-4ad7-9db9-69e3245ae741,nl,1.0,False
84d531fe-5465-47cc-b5e7-a5de7c6e3bba,nl,0.7089,True
8c5fdb1e-e71e-4c43-b89f-9594dc203b26,nl,1.0,False
8c6cb71e-072c-4816-8cc5-b50678680687,nl,1.0,False
8ceeab07-5772-4472-b5f4-b7de4adf9ea5,nl,1.0,False
8f5b11a3-7c9a-4605-b764-495c73c7d161,en,1.0,False
9466eb27-05bf-4e55-9bf4-9760b89606e3,nl,1.0,False
963c6305-fe38-4a92-be67-f5dc904b2862,nl,1.0,False
97a132f2-028e-49b2-8f2c-56f8ecd2d382,nl,1.0,False
9a9a0fd7-6a16-410a-8f60-3892847e3a98,nl,0.6849,True
ae8cfcfb-a099-486f-a763-6278cdd99544,nl,1.0,False
b0e42a30-7d5d-4f97-9d98-1bc32fc64e0a,nl,1.0,False
b274631d-8126-4ecd-b162-7b7670ffd0ff,nl,1.0,False
b5c636f5-f2a5-4d9c-ae87-4b07471a5f45,nl,1.0,False
b790d4f6-c1da-4234-b105-99da9a4010ec,nl,1.0,False
b7c4b3c5-a4dc-414e-bc3b-94454c8e9c1c,nl,1.0,False
bb4b5a02-113d-446f-b188-26b5440e504e,nl,1.0,False
bbe8ebcf-a2cd-49a0-8685-76681b1c1027,nl,1.0,False
c31533ba-c00e-4c75-8247-bf20b6138d75,nl,1.0,False
c319de58-c1a1-4090-af43-a4c253273a27,nl,1.0,False
c4fe8c7a-151c-4a9d-9c9e-aa9fe6fefe48,nl,1.0,False
c5be777e-fdd9-47d1-b61e-4e355d66bdbd,nl,1.0,False
c607b218-ed81-4d4d-bba3-1e130a23712d,nl,1.0,False
c6757fcf-a584-4874-8c72-428d355b52e4,nl,1.0,False
c8efc521-999b-4ce4-821c-7669f3dc9530,nl,1.0,False
cb6f62ce-896d-4eb5-aa09-0fec290ec200,nl,1.0,False
ce99e7be-dcd5-447e-9b99-9efced6a8e70,nl,1.0,False
d038ed93-9fa9-4109-8187-42073cc91b22,nl,0.6849,True
d0ac1d4d-7f74-4f16-a31d-f17944f8257b,nl,1.0,False
d3c629b5-d431-43c4-bc78-d87f2d77297d,nl,1.0,False
d5764100-15ba-47ad-9ac9-392caf3a13e4,nl,1.0,False
d5af19d8-b245-4428-ac56-84ee9e505299,und,0.0,False
daf34125-4179-416c-a83c-5a5a7f5aa4a3,nl,1.0,False
df997f25-7033-45d9-af39-1b04b8725b5e,nl,1.0,False
e2ca6f8d-e496-46c1-9478-2a47ae0477fa,nl,1.0,False
e637ef45-389c-4117-bd04-630c369909d2,nl,1.0,False
e6a4a8c2-bd80-49ff-a697-8b1feaa44643,nl,1.0,False
e706ffa7-800b-4d88-bd4e-efd75c7cb4f9,en,1.0,False
e8afbfdc-6abd-4ba4-b055-3f0a9ef2e77f,nl,1.0,False
e92698c6-09c3-4139-a3de-ceded2b48155,nl,1.0,False
eb0011d0-2f86-4f6a-9008-bd62896affe6,und,0.0,False
eb81d078-4c0b-46ec-945e-4bd4fa1b3c10,nl,1.0,False
f02f05b7-7043-4ba3-b135-6743bad4f67d,de,1.0,False
f1db4694-cb5c-466d-9e74-a7d987a60366,nl,1.0,False
f36555c7-c4c1-43f0-898c-4e6c454eeb84,nl,1.0,False
f4b33fb7-079a-4df6-a704-e9e2bcfec19e,nl,1.0,False
f4f21a7b-b56b-4f57-a678-7e9737690628,nl,1.0,False
f606fce4-b1d4-4f01-9bed-8d1e03766aa4,nl,1.0,False
f7d2b1ee-2f54-4496-a9bc-af078329ce1b,nl,1.0,False
fa88e361-a78c-4135-9b0d-a2ef87a5c386,nl,1.0,False
feec0f6a-c34d-4f06-8131-05bccb625c0d,nl,1.0,False
