text,main_topic,subtopic,similarity
"Mijn dochter is zoek, ik kan haar nergens meer vinden op het terrein.",Venue,Emergency,0.33171045780181885
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"Er breekt brand uit bij de foodtrucks, help snel!",Venue,Emergency,0.44248485565185547
"We staan al 40 minuten bij de camping-ingang en er gebeurt helemaal niets, dit is echt te gek voor woorden!",Venue,CabinAccess,0.44671666622161865
"Is er ook randprogrammering overdag, of alleen muziek?",Program,Schedule,0.4602683484554291
"Er ligt iemand bewusteloos bij podium 2, we hebben nu hulp nodig!",Venue,Emergency,0.4707610011100769
Hoe laat begint de hoofdact vanavond?,Program,Schedule,0.5284709930419922
Waar kan ik mijn fiets stallen dichtbij de ingang?,Transport,Transit,0.549597978591919
"Ik ben mijn telefoon kwijtgeraakt gisteravond bij het hoofdpodium, wat nu?",Venue,LostFound,0.5629478693008423
Moet ik me kunnen legitimeren bij de leeftijdscontrole?,Access,AgeCheck,0.5637315511703491
Kan ik het terrein even verlaten en later weer terugkomen met hetzelfde bandje?,Venue,ReEntry,0.5649106502532959
