text,main_topic,subtopic,similarity
"Mijn dochter is zoek, ik kan haar nergens meer vinden op het terrein.",Venue,Emergency,0.33171045780181885
"Mijn dochter is zoek, ik kan haar nergens meer vinden op het terrein.",Venue,Emergency,0.33171045780181885
"Mijn dochter is zoek, ik kan haar nergens meer vinden op het terrein.",Venue,Emergency,0.33171045780181885
"Mijn dochter is zoek, ik kan haar nergens meer vinden op het terrein.",Venue,Emergency,0.33171045780181885
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
