conversation_id,created_at,text,main_topic,subtopic,similarity
0103cf17-7e89-4ad5-991c-b18d818ec166,2026-08-23T06:35:00+00:00,"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
0103cf17-7e89-4ad5-991c-b18d818ec166,2026-08-23T06:36:30+00:00,"Mijn ticket scant niet bij de ingang, dit is al de derde keer dat ik het probeer!",Access,Scanning,0.7466127872467041
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,2026-08-22T09:38:00+00:00,Is er een plek waar ik mijn powerbank kan opladen?,Venue,Charging,0.6709820032119751
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,2026-08-22T09:38:50+00:00,"Dankjewel, dat helpt!",None,None,0.37678322196006775
01cf8b53-0970-41a1-a935-afc633d43918,2026-08-23T00:20:00+00:00,"Ik heb mijn ticketmail niet ontvangen, kun je helpen?",Access,Lost,0.7114764451980591
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,2026-08-24T00:24:00+00:00,"Mijn ticket scant niet bij de ingang, dit is al de derde keer dat ik het probeer!",Access,Scanning,0.7466127872467041
07043831-9ad6-45f6-b956-5ba5e63a9a92,2026-08-24T09:52:00+00:00,"De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.",Venue,Amenities,0.4224797785282135
07043831-9ad6-45f6-b956-5ba5e63a9a92,2026-08-24T09:53:00+00:00,"Dit is geen antwoord op mijn vraag, ik wil dit nu opgelost hebben!",None,None,0.5103578567504883
08ea8523-94e5-4044-8327-28f444cf5f37,2026-08-22T13:50:00+00:00,Kan ik de naam op mijn ticket nog wijzigen?,Access,Rename,0.7449817061424255
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,2026-08-24T13:28:00+00:00,"We staan al 40 minuten bij de camping-ingang en er gebeurt helemaal niets, dit is echt te gek voor woorden!",Venue,CabinAccess,0.44671666622161865
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,2026-08-24T13:29:00+00:00,"Dit is geen antwoord op mijn vraag, ik wil dit nu opgelost hebben!",None,None,0.5103578567504883
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,2026-08-23T00:02:00+00:00,Waar kan ik mijn fiets stallen dichtbij de ingang?,Transport,Transit,0.549597978591919
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,2026-08-23T00:02:50+00:00,"Dankjewel, dat helpt!",None,None,0.37678322196006775
